image,cot
brisc2025_test_00001_gl_ax_t1,"Texture: Heterogeneous signal with mixed hyperintense components and mild background noise.  
Boundary: Partially well-defined but locally indistinct margins; moderate low-contrast interface with adjacent brain tissue.  
Context: Adjacent CSF spaces/ventricular structures and basal cisterns can mimic similar intensity, risking leakage into fluid spaces.  
Summary: Heterogeneous intracranial mass with partly blurred, low-contrast borders near CSF-containing structures complicating segmentation."
brisc2025_test_00002_gl_ax_t1,"Texture: Mildly heterogeneous enhancement with relatively smooth internal signal; minimal noise.  
Boundary: Partly sharp but with segments of indistinct, low-contrast margins blending with adjacent enhancing structures.  
Context: Located near skull base/cavernous-sellar region where vessels, pituitary tissue, and dura enhance similarly, increasing confusion.  
Summary: Mildly heterogeneous enhancing mass with partially indistinct margins in a region of physiologic vascular/dural enhancement that complicates segmentation."
brisc2025_test_00003_gl_ax_t1,"Texture: Predominantly homogeneous background brain parenchyma with heterogeneous, mildly hyperintense lesion signal; slight image noise.  
Boundary: Margins are partially indistinct with mild low-contrast blending into adjacent cortex/dura; not uniformly sharp.  
Context: Adjacent CSF spaces, cortical sulci, and calvarial/dural rim can mimic lesion signal and confuse separation from extra-axial structures.  
Summary: Heterogeneous mildly hyperintense lesion with partially ill-defined, low-contrast margins near CSF/dural interfaces complicating segmentation."
brisc2025_test_00004_gl_ax_t1,"Texture: Predominantly heterogeneous signal with mixed hypo-/isointense components; mild noise and partial-volume effects.  
Boundary: Largely indistinct, with blurred margins and variable contrast against adjacent brain parenchyma; some sharper segments.  
Context: Adjacent skull base/temporal bone susceptibility, CSF spaces, and nearby vessels/cranial nerves may mimic or obscure tumor signal.  
Summary: Heterogeneous skull-base mass with partially ill-defined margins and confounding adjacent CSF/vessels/susceptibility artifacts."
brisc2025_test_00005_gl_ax_t1,"Texture: Mildly heterogeneous, predominantly hypointense soft-tissue signal without obvious necrosis; low noise.  
Boundary: Partially well-defined but locally indistinct margins with mild low-contrast blending into adjacent brain parenchyma/CSF spaces.  
Context: Abuts central skull-base structures where normal vessels/sellar region and CSF cisterns can mimic enhancing tissue.  
Summary: Small mildly heterogeneous hypointense lesion with partially indistinct, low-contrast borders near vascular/CSF-rich central structures, complicating segmentation."
brisc2025_test_00006_gl_ax_t1,"Texture: Mildly heterogeneous, relatively smooth lesion signal; low noise overall.  
Boundary: Mostly well-circumscribed with partially indistinct margins where it abuts cortical/subcortical parenchyma; moderate contrast.  
Context: Adjacent cortical gyri and gray–white matter interface may mimic lesion edge; nearby CSF spaces can confound partial-volume.  
Summary: Smooth mildly heterogeneous intracranial mass with partly blurred interface against cortex/white matter and potential partial-volume with CSF."
brisc2025_test_00007_gl_ax_t1,"Texture: Heterogeneous, mixed solid/cystic signal with mild internal mottling; minimal noise.  
Boundary: Partly well-circumscribed but with indistinct margins where it abuts adjacent parenchyma; local low-contrast interface.  
Context: Adjacent enhancing cortex/dura and nearby vessels/sulci can mimic lesion signal and confuse separation from extra-axial tissue.  
Summary: Heterogeneous enhancing mass with partially ill-defined margins near cortical/dural and vascular structures, making boundary delineation challenging."
brisc2025_test_00008_gl_ax_t1,"Texture: Mildly heterogeneous enhancing lesion, relatively smooth internal signal; minimal noise.  
Boundary: Moderately well-circumscribed but with partially indistinct margins where it blends with adjacent brain parenchyma; contrast reduced at the periphery.  
Context: Adjacent to CSF spaces and enhancing vascular structures, which can mimic lesion enhancement and confuse segmentation.  
Summary: Mildly heterogeneous enhancing mass with partially indistinct margins near CSF/vessels, making edge delineation challenging."
brisc2025_test_00009_gl_ax_t1,"Texture: Predominantly heterogeneous solid lesion with mild internal signal variation; minimal noise.  
Boundary: Partly well-defined but locally indistinct margins with subtle blending into adjacent parenchyma; moderate contrast.  
Context: Adjacent ventricular CSF spaces and enhancing vascular structures/meninges may mimic or obscure tumor margins, complicating separation from edema.  
Summary: Heterogeneous enhancing-appearing mass with partially ill-defined borders near ventricles/vessels, making tumor–edema/parenchyma delineation difficult."
brisc2025_test_00010_gl_ax_t1,"Texture: Predominantly heterogeneous signal with mixed hypo-/isointense components; mild background noise.  
Boundary: Partly well-circumscribed but with segments of indistinct, low-contrast interface against adjacent brain parenchyma.  
Context: Adjacent CSF spaces and skull base/temporal bone susceptibility artifacts can mimic lesion margins and confuse segmentation.  
Summary: Heterogeneous intracranial mass with partially indistinct low-contrast margins near CSF spaces and susceptibility artifact."
brisc2025_test_00011_gl_ax_t1,"Texture: Predominantly heterogeneous with mixed signal intensity and mild internal mottling; background brain parenchyma relatively homogeneous.  
Boundary: Margins are partially well-circumscribed but locally indistinct with subtle contrast against adjacent parenchyma, suggesting mild partial-volume/blur.  
Context: Adjacent skull base structures, CSF spaces, and enhancing vessels/dura can mimic or obscure lesion extent.  
Summary: Small heterogeneous enhancing-appearing lesion with partially indistinct margins near CSF/vessel–dural interfaces, making edge delineation challenging."
brisc2025_test_00012_gl_ax_t1,"Texture: Heterogeneous, mildly hyperintense lesion with internal speckled signal and subtle noise/artifact.  
Boundary: Irregular, partially ill-defined margins with areas of low contrast to adjacent brain parenchyma.  
Context: Adjacent CSF spaces and enhancing vascular structures/dura can mimic lesion signal and confound segmentation.  
Summary: Irregular heterogeneous enhancing-appearing mass with partially indistinct borders near CSF and vessels, making separation from surrounding structures challenging."
brisc2025_test_00013_gl_ax_t1,"Texture: Predominantly heterogeneous, ring-enhancing appearance with central hypointense/necrotic core; mild background noise.  
Boundary: Outer enhancing rim relatively sharp, but inner margin irregular; subtle perilesional signal change causes partially indistinct interface with adjacent parenchyma.  
Context: Nearby cortical gray matter and enhancing vessels/dura can mimic lesion enhancement and confuse boundaries.  
Summary: Heterogeneous ring-enhancing mass with irregular necrotic center and partially indistinct margins adjacent to normal enhancing structures."
brisc2025_test_00014_gl_ax_t1,"Texture: Predominantly heterogeneous solid mass with relatively homogeneous central signal; mild image noise.
Boundary: Mostly well-circumscribed with a sharp outer margin, but portions show slightly indistinct interface with adjacent brain parenchyma (moderate contrast).
Context: Adjacent skull base/temporal soft tissues and nearby vascular structures/CSF spaces may mimic enhancing margins and complicate separation.
Summary: Heterogeneous extra-axial–appearing mass with largely sharp margins but focal parenchymal blending near complex skull-base/vessel interfaces."
brisc2025_test_00015_gl_ax_t1,"Texture: Mildly heterogeneous enhancing soft-tissue signal, relatively smooth internally with minimal noise.  
Boundary: Partly indistinct margins with mild blur and low contrast against adjacent cortical/white-matter parenchyma; abuts enhancing vessels.  
Context: Nearby cortical sulci and venous structures show similar post-contrast enhancement, potentially confusing lesion extent.  
Summary: Mildly heterogeneous enhancing lesion with partially ill-defined borders that blend with parenchyma and adjacent enhancing vessels/sulci."
brisc2025_test_00016_gl_ax_t1,"Texture: Heterogeneous signal with mixed intensity and mild grain/noise; possible necrotic/cystic components.  
Boundary: Irregular margins with partially indistinct interface to adjacent cortex/white matter; variable contrast and subtle peritumoral change.  
Context: Adjacent enhancing vessels/meninges and normal cortical sulci can mimic tumor enhancement and confuse segmentation.  
Summary: Irregular, heterogeneously enhancing intra-axial lesion with partially blurred margins near enhancing vascular/meningeal structures."
brisc2025_test_00017_gl_ax_t1,"Texture: Predominantly heterogeneous, T1-hypointense to isointense with focal internal signal variation; minimal noise.  
Boundary: Partly well-circumscribed but with segments of indistinct/blurred margins and low contrast against adjacent gray–white matter; mild mass-effect interface.  
Context: Adjacent cortical/subcortical parenchyma and CSF spaces can mimic similar hypointense signal, and partial-volume with sulci/meninges may confound edges.  
Summary: Heterogeneous hypointense intra-axial lesion with partially indistinct margins and low parenchymal contrast near sulci/CSF, making contouring challenging."
brisc2025_test_00018_gl_ax_t1,"Texture: Predominantly heterogeneous signal with mild internal complexity; minimal noise.  
Boundary: Margins partly indistinct with low contrast against adjacent brain parenchyma/CSF; edges not uniformly sharp.  
Context: Adjacent ventricular/CSF spaces and deep gray nuclei have similar intensity, risking confusion with periventricular structures.  
Summary: Heterogeneous deep-seated lesion with partially blurred, low-contrast margins abutting CSF/ventricular anatomy, making delineation challenging."
brisc2025_test_00019_gl_ax_t1,"Texture: Predominantly heterogeneous, mixed iso-/hypointense signal with internal necrotic/cystic-appearing components; mild background noise.  
Boundary: Mostly irregular and partially ill-defined with areas of low contrast against adjacent brain parenchyma; edge not uniformly sharp.  
Context: Surrounded by normal gray/white matter with possible adjacent edema and sulcal/CSF interfaces that can mimic lesion margins.  
Summary: Irregular heterogeneous intra-axial mass with partially indistinct margins blending with edematous parenchyma near CSF spaces, complicating segmentation."
brisc2025_test_00020_gl_ax_t1,"Texture: Mildly heterogeneous, predominantly solid, with subtle internal signal variation; low-level background noise.  
Boundary: Partially well-circumscribed but with segments of indistinct, low-contrast margins blending into adjacent parenchyma.  
Context: Abuts cortical surface/extra-axial interface; nearby sulci and dural enhancement can mimic lesion signal and confuse edges.  
Summary: Predominantly solid, mildly heterogeneous enhancing mass with partly blurred margins near the cortical–dural interface, making separation from adjacent enhancement challenging."
brisc2025_test_00021_gl_ax_t1,"Texture: Heterogeneous intra-lesional signal with a necrotic/cystic-appearing core and mild surrounding edema; minimal background noise.  
Boundary: Predominantly well-circumscribed rim with partial indistinct outer margin where it blends with adjacent cortical parenchyma; moderate contrast.  
Context: Adjacent sulci/CSF spaces and cortical vessels can mimic low-signal margins and confuse edema vs tumor boundary.  
Summary: Ring-like heterogeneous enhancing mass with central low-signal component and subtle perilesional edema, with mildly indistinct interface to cortex near sulci/vessels."
brisc2025_test_00022_gl_ax_t1,"Texture: Heterogeneous, predominantly hyperintense mass with internal mixed signal suggesting necrosis/hemorrhage; mild background noise.  
Boundary: Partly sharp but irregular margins; segments appear indistinct where signal blends with adjacent gray matter/CSF; moderate contrast.  
Context: Adjacent vascular flow-voids and normal enhancing structures can mimic tumor enhancement and confuse edges.  
Summary: Irregular heterogeneous enhancing-appearing lesion with partially indistinct margins near vessels/CSF interfaces, making boundary delineation challenging."
brisc2025_test_00023_gl_ax_t1,"Texture: Predominantly heterogeneous lesion with mixed signal intensity and mild internal necrotic/cystic appearance; background parenchyma relatively homogeneous, low noise.  
Boundary: Margins partly irregular with a partially indistinct interface to adjacent brain; local contrast is reduced at the infiltrative edge.  
Context: Adjacent cortical/white-matter interfaces and enhancing vessels/meninges can mimic lesion signal and confuse borders.  
Summary: Heterogeneous mixed-intensity mass with partially ill-defined, infiltrative margins near normal parenchymal and vascular structures."
brisc2025_test_00024_gl_ax_t1,"Texture: Predominantly heterogeneous, mixed signal with central necrotic/cystic-appearing component and mild internal noise.  
Boundary: Partly well-circumscribed but locally irregular/indistinct margins with adjacent parenchymal blending; moderate contrast.  
Context: Adjacent cortical/subcortical gray-white matter interface and sulcal vessels can mimic enhancing rim or edema.  
Summary: Heterogeneous mass with central necrosis and partially indistinct margins, challenging to separate from nearby gray-white junction and vascular structures."
brisc2025_test_00025_gl_ax_t1,"Texture: Heterogeneous intra-axial mass with mixed signal intensity and mild internal granularity; minimal noise.  
Boundary: Partly well-circumscribed but with indistinct, low-contrast margins where it blends with adjacent gray/white matter; no spiculation.  
Context: Adjacent CSF spaces and enhancing cortical/vascular structures can mimic lesion edges and confuse segmentation.  
Summary: Mixed-signal brain mass with partially blurred margins abutting CSF/vessels, making border delineation challenging."
brisc2025_test_00026_gl_ax_t1,"Texture: Predominantly heterogeneous, mildly noisy, with mixed signal intensity and possible internal necrotic/cystic component.  
Boundary: Partially well-defined but with segments of indistinct, low-contrast margins; adjacent enhancing vessels create edge ambiguity.  
Context: Lies near deep venous structures/ventricular CSF spaces; vascular enhancement and CSF can mimic tumor signal and confuse segmentation.  
Summary: Heterogeneous enhancing intracranial mass with partially indistinct margins abutting vessels/CSF, making boundary delineation challenging."
brisc2025_test_00027_gl_ax_t1,"Texture: Relatively homogeneous, mildly hyperintense mass; minimal internal heterogeneity and low noise.  
Boundary: Mostly well-circumscribed with a sharp interface to adjacent parenchyma; slight partial-volume blurring at the periphery.  
Context: Adjacent cortical gray/white matter and enhancing meninges/dural margin may mimic lesion intensity, risking over-segmentation into extra-axial tissues.  
Summary: Predominantly homogeneous hyperintense, well-defined lesion with mild edge blurring near cortical–dural structures."
